url,final_url,classification,http_status,ok,content_type,fetched_at,response_bytes,sha256,raw_path,crawl_status,disposition,target_path,decision_gate,decision_status,discovered_from,discovery_source,error
https://www.robbewulgaert.be/education/ai-taal-auteur-of-ai-teur-ef7mx,https://www.robbewulgaert.be/education/ai-taal-auteur-of-ai-teur-ef7mx,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.644Z,158768,877f9c85548a92012f4d98638a17c2681a4e2f77e74d331dc4112a0a846ad132,migration/raw-html/education-ai-taal-auteur-of-ai-teur-ef7mx-e923f39a1f03.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-wij-robots-herkennen-onze-emotie-smbe9,https://www.robbewulgaert.be/education/ai-wij-robots-herkennen-onze-emotie-smbe9,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.315Z,168840,68bcf8bfeb92a4a82fb5c6cd7c4bf02e6eb652310b072d8e6079ca094ffa3f44,migration/raw-html/education-ai-wij-robots-herkennen-onze-emotie-smbe9-612be0bb50c0.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-wij-robots-herkennen-onze-wereld-bpsfs,https://www.robbewulgaert.be/education/ai-wij-robots-herkennen-onze-wereld-bpsfs,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.362Z,164175,71b327ba551b9a1dbe78b2856b09adc66ac833cf448909668ce4c42684588125,migration/raw-html/education-ai-wij-robots-herkennen-onze-wereld-bpsfs-368d7f840ace.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/bring-greek-myths-to-life,https://www.robbewulgaert.be/education/bring-greek-myths-to-life,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.532Z,200442,79b3b58c30325548c94cdb9dc01ce83c0184770cba00553eef1901caad7d6df6,migration/raw-html/education-bring-greek-myths-to-life-8b9c0c54f48d.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/build-your-own-smart-trash-can,https://www.robbewulgaert.be/education/build-your-own-smart-trash-can,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.018Z,176069,457583d6cf1fb43e4f632487086463761b7257cce99dc8d594dcf146b06ff3b1,migration/raw-html/education-build-your-own-smart-trash-can-1fd5a1a8e861.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/chatgpt-in-the-classroom,https://www.robbewulgaert.be/education/chatgpt-in-the-classroom,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.856Z,231839,deb2b09810592a2d8613dd4be722f43d9eacf67312a2184235a8d54cf10e9d48,migration/raw-html/education-chatgpt-in-the-classroom-1684857a3b38.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/chimera,https://www.robbewulgaert.be/education/chimera,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.774Z,231619,d181296f78ee7ef30f23130f60883582772d24753636bed0a850546930d43ff8,migration/raw-html/education-chimera-1fbc17743bd7.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/course-computational-thinking,https://www.robbewulgaert.be/education/course-computational-thinking,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:17.000Z,169242,db29fc2e3626cd045675c077307c0828cd67154d2be75cb734d56d90bd316159,migration/raw-html/education-course-computational-thinking-c263afdaae3e.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/course-computational-thinking-javascript,https://www.robbewulgaert.be/education/course-computational-thinking-javascript,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.927Z,181700,ae410e914b43b96b9b1029192535aeefd0c3263427470a4da5e411b346303f5f,migration/raw-html/education-course-computational-thinking-javascript-5354b2bb5ce6.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/define-value,https://www.robbewulgaert.be/education/define-value,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:29.943Z,170321,0f18bcbfbed1d3cf3f8aa24027f5f1b1a4afa42e667847e644c913e4ab3d7bc3,migration/raw-html/education-define-value-193c4252b745.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
