source_url,final_url,source_path,source_query,classification,locale,crawl_status,http_status,decision_gate,disposition,target_action,target_path,canonical_path,include_in_sitemap,case_collision_id
https://www.robbewulgaert.be/onderwijs/category/Ghent,https://www.robbewulgaert.be/onderwijs/category/Ghent,/onderwijs/category/Ghent,,tag_archive,nl-BE,snapshotted,200,,,derive_tag_archive_at_exact_path,/onderwijs/category/Ghent,/onderwijs/category/Ghent,true,
https://www.robbewulgaert.be/onderwijs/category/latin,https://www.robbewulgaert.be/onderwijs/category/latin,/onderwijs/category/latin,,tag_archive,nl-BE,snapshotted,200,,,derive_tag_archive_at_exact_path,/onderwijs/category/latin,/onderwijs/category/latin,true,
https://www.robbewulgaert.be/onderwijs/category/onderwijs,https://www.robbewulgaert.be/onderwijs/category/onderwijs,/onderwijs/category/onderwijs,,tag_archive,nl-BE,snapshotted,200,,,derive_tag_archive_at_exact_path,/onderwijs/category/onderwijs,/onderwijs/category/onderwijs,true,
https://www.robbewulgaert.be/onderwijs/category/super+marcus,https://www.robbewulgaert.be/onderwijs/category/super+marcus,/onderwijs/category/super+marcus,,tag_archive,nl-BE,snapshotted,200,,,derive_tag_archive_at_exact_path,/onderwijs/category/super+marcus,/onderwijs/category/super+marcus,true,
https://www.robbewulgaert.be/onderwijs/chatgpt-in-de-klas,https://www.robbewulgaert.be/onderwijs/chatgpt-in-de-klas,/onderwijs/chatgpt-in-de-klas,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/chatgpt-in-de-klas,/onderwijs/chatgpt-in-de-klas,true,
https://www.robbewulgaert.be/onderwijs/de-chimaera-het-fantastische-monster,https://www.robbewulgaert.be/onderwijs/de-chimaera-het-fantastische-monster,/onderwijs/de-chimaera-het-fantastische-monster,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/de-chimaera-het-fantastische-monster,/onderwijs/de-chimaera-het-fantastische-monster,true,
https://www.robbewulgaert.be/onderwijs/define-value,https://www.robbewulgaert.be/onderwijs/define-value,/onderwijs/define-value,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/define-value,/onderwijs/define-value,true,
https://www.robbewulgaert.be/onderwijs/design-thinking-project-2030,https://www.robbewulgaert.be/onderwijs/design-thinking-project-2030,/onderwijs/design-thinking-project-2030,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/design-thinking-project-2030,/onderwijs/design-thinking-project-2030,true,
https://www.robbewulgaert.be/onderwijs/digital-storytelling-in-virtual-reality,https://www.robbewulgaert.be/onderwijs/digital-storytelling-in-virtual-reality,/onderwijs/digital-storytelling-in-virtual-reality,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/digital-storytelling-in-virtual-reality,/onderwijs/digital-storytelling-in-virtual-reality,true,
https://www.robbewulgaert.be/onderwijs/digital-storytelling-in-vr,https://www.robbewulgaert.be/onderwijs/digital-storytelling-in-vr,/onderwijs/digital-storytelling-in-vr,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/digital-storytelling-in-vr,/onderwijs/digital-storytelling-in-vr,true,
